Application order,Age at enrollment,Unemployment rate,Inflation rate,GDP,Units 1st sem credit,Units 1st sem enroll,Units 1st sem approved,Units 1st sem grade,Units 1st sem eval,Units 1st sem without eval,Target,cluster_label
5,20,10.8,1.4,1.74,0,0,0,0.0,0,0,Dropout,2
1,19,13.9,-0.3,0.79,0,6,6,14.0,6,0,Graduate,0
5,19,10.8,1.4,1.74,0,6,0,0.0,0,0,Dropout,2
2,20,9.4,-0.8,-3.12,0,6,6,13.428571428571429,8,0,Graduate,0
1,45,13.9,-0.3,0.79,0,6,5,12.333333333333334,9,0,Graduate,1
1,50,16.2,0.3,-0.92,0,5,5,11.857142857142858,10,0,Graduate,1
1,18,15.5,2.8,-4.06,0,7,7,13.3,9,0,Graduate,0
4,22,15.5,2.8,-4.06,0,5,0,0.0,5,0,Dropout,2
3,21,16.2,0.3,-0.92,0,6,6,13.875,8,0,Graduate,0
1,18,8.9,1.4,3.51,0,6,5,11.4,9,0,Dropout,0
1,18,13.9,-0.3,0.79,0,6,6,12.333333333333334,6,0,Graduate,0
1,18,12.7,3.7,-1.7,0,8,7,13.214285714285714,8,0,Graduate,0
2,19,12.7,3.7,-1.7,0,6,0,0.0,6,0,Dropout,2
1,21,8.9,1.4,3.51,0,6,6,10.571428571428571,7,0,Graduate,0
1,18,10.8,1.4,1.74,0,5,4,13.25,7,0,Graduate,0
1,20,15.5,2.8,-4.06,0,6,5,13.2,6,0,Dropout,0
1,18,10.8,1.4,1.74,0,6,1,12.0,10,0,Enrolled,0
2,18,15.5,2.8,-4.06,0,7,7,13.30625,8,0,Graduate,0
1,20,10.8,1.4,1.74,0,5,4,12.5,8,1,Graduate,0
1,18,16.2,0.3,-0.92,0,7,6,11.666666666666666,7,0,Enrolled,0
3,21,11.1,0.6,2.02,0,0,0,0.0,0,0,Graduate,2
4,20,12.7,3.7,-1.7,0,7,7,11.4375,14,0,Enrolled,0
4,18,12.7,3.7,-1.7,0,8,7,12.857142857142858,12,0,Graduate,0
4,19,11.1,0.6,2.02,0,6,6,13.375,8,0,Graduate,0
1,19,11.1,0.6,2.02,0,7,6,13.296666666666669,8,0,Graduate,0
1,18,7.6,2.6,0.32,0,6,5,11.6,8,0,Enrolled,0
2,21,16.2,0.3,-0.92,0,6,6,11.375,9,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,5,5,12.666666666666666,9,2,Enrolled,0
1,20,16.2,0.3,-0.92,0,5,5,12.0,6,0,Graduate,0
2,19,16.2,0.3,-0.92,0,7,6,12.933333333333332,9,0,Enrolled,0
1,21,16.2,0.3,-0.92,0,6,5,11.857142857142858,15,0,Enrolled,0
1,20,8.9,1.4,3.51,2,6,6,12.833333333333334,7,0,Graduate,0
1,18,8.9,1.4,3.51,0,5,3,11.333333333333334,9,0,Enrolled,0
1,19,12.4,0.5,1.79,0,6,6,12.666666666666666,6,0,Graduate,0
1,34,13.9,-0.3,0.79,0,5,5,12.4,6,0,Graduate,1
1,37,8.9,1.4,3.51,0,7,0,0.0,7,0,Dropout,1
1,43,7.6,2.6,0.32,0,5,0,0.0,0,0,Dropout,1
1,55,16.2,0.3,-0.92,0,5,1,10.0,10,0,Dropout,1
1,39,7.6,2.6,0.32,0,5,5,11.0,8,0,Graduate,1
1,20,12.4,0.5,1.79,2,6,3,11.666666666666666,13,0,Dropout,0
5,18,12.7,3.7,-1.7,0,6,4,12.75,6,0,Dropout,0
2,22,8.9,1.4,3.51,0,5,5,14.8,5,0,Graduate,0
6,22,11.1,0.6,2.02,0,7,5,13.928,9,0,Graduate,0
1,20,12.4,0.5,1.79,0,6,4,13.0,7,0,Dropout,0
1,29,16.2,0.3,-0.92,0,5,0,0.0,0,0,Dropout,2
1,24,7.6,2.6,0.32,0,5,2,11.5,9,0,Enrolled,0
2,18,11.1,0.6,2.02,0,6,6,11.666666666666666,6,0,Graduate,0
6,22,11.1,0.6,2.02,0,7,6,13.516666666666666,8,0,Graduate,0
1,21,12.4,0.5,1.79,3,6,6,11.5,6,0,Graduate,0
1,19,12.7,3.7,-1.7,0,6,5,12.333333333333334,7,0,Graduate,0
1,24,12.4,0.5,1.79,0,6,6,13.666666666666666,6,0,Graduate,0
1,19,9.4,-0.8,-3.12,0,8,6,11.833333333333334,10,0,Enrolled,0
1,20,9.4,-0.8,-3.12,0,6,4,14.0,11,0,Enrolled,0
3,19,7.6,2.6,0.32,0,5,5,14.714285714285714,7,0,Graduate,0
1,27,9.4,-0.8,-3.12,0,5,5,10.6,12,0,Dropout,0
